metric,variant,x,mean,sem,n_seeds
episode/collective_reward_mean,IPPO,120.0,0.19126666666666667,0.02595176749493397,3
episode/collective_reward_mean,IPPO,169.76588628762542,0.22694880713489407,0.013307679151185029,3
episode/collective_reward_mean,IPPO,219.53177257525084,0.2789055458937198,0.006340619579715452,3
episode/collective_reward_mean,IPPO,269.29765886287623,0.332678831066518,0.01644325410300413,3
episode/collective_reward_mean,IPPO,319.0635451505017,0.3875420440876997,0.04369295648103431,3
episode/collective_reward_mean,IPPO,368.82943143812713,0.423078481748049,0.026985210818380553,3
episode/collective_reward_mean,IPPO,418.5953177257525,0.4478949783093274,0.014126086245220382,3
episode/collective_reward_mean,IPPO,468.3612040133779,0.4683904503821033,0.011431484724599157,3
episode/collective_reward_mean,IPPO,518.1270903010034,0.4862933077617777,0.004711647927412543,3
episode/collective_reward_mean,IPPO,567.8929765886288,0.5352031641442462,0.022374125573937614,3
episode/collective_reward_mean,IPPO,617.6588628762543,0.5953959007162021,0.055520990751179014,3
episode/collective_reward_mean,IPPO,667.4247491638796,0.6467316095490078,0.06779311273535535,3
episode/collective_reward_mean,IPPO,717.190635451505,0.6927531017383233,0.0679993093007,3
episode/collective_reward_mean,IPPO,766.9565217391305,0.7447797595937186,0.026697393522669602,3
episode/collective_reward_mean,IPPO,816.7224080267558,0.7836827647120096,0.027357406262204724,3
episode/collective_reward_mean,IPPO,866.4882943143813,0.7805726168353813,0.04585557850281484,3
episode/collective_reward_mean,IPPO,916.2541806020067,0.7522545771618011,0.045669933239457325,3
episode/collective_reward_mean,IPPO,966.0200668896322,0.7269660796304139,0.06324728508950268,3
episode/collective_reward_mean,IPPO,1015.7859531772576,0.7153081762063421,0.08442137110556695,3
episode/collective_reward_mean,IPPO,1065.551839464883,0.7340755746201264,0.08738346210324548,3
episode/collective_reward_mean,IPPO,1115.3177257525085,0.7710981541366243,0.08006520376190138,3
episode/collective_reward_mean,IPPO,1165.0836120401339,0.8151741098732791,0.07471498702966498,3
episode/collective_reward_mean,IPPO,1214.8494983277592,0.8606957925683375,0.08149857119929929,3
episode/collective_reward_mean,IPPO,1264.6153846153848,0.9014856806692078,0.08359403544628051,3
