metric,variant,x,mean,sem,n_seeds
episode/collective_reward_mean,IPPO,120.0,0.11466666666666665,0.016072144208052776,3
episode/collective_reward_mean,IPPO,169.76588628762542,0.1583859977703456,0.002703187792782534,3
episode/collective_reward_mean,IPPO,219.53177257525084,0.22762998587885544,0.025430036283891715,3
episode/collective_reward_mean,IPPO,269.29765886287623,0.31109446124117424,0.045109988641581875,3
episode/collective_reward_mean,IPPO,319.0635451505017,0.4030912289557785,0.06633161294795015,3
episode/collective_reward_mean,IPPO,368.82943143812713,0.5183325857569677,0.06742169160798589,3
episode/collective_reward_mean,IPPO,418.5953177257525,0.6843874407146787,0.06737351736170548,3
episode/collective_reward_mean,IPPO,468.3612040133779,0.942145927825314,0.0906350121221777,3
episode/collective_reward_mean,IPPO,518.1270903010034,1.2549265942277041,0.13091111030315342,3
episode/collective_reward_mean,IPPO,567.8929765886288,1.6203759788331666,0.12913796657120938,3
episode/collective_reward_mean,IPPO,617.6588628762543,2.0122174713578715,0.1285429400584675,3
episode/collective_reward_mean,IPPO,667.4247491638796,2.409025555278491,0.12051770809678439,3
episode/collective_reward_mean,IPPO,717.190635451505,2.80881359403666,0.09872610821750255,3
episode/collective_reward_mean,IPPO,766.9565217391305,3.200558736132141,0.08983745261598981,3
episode/collective_reward_mean,IPPO,816.7224080267558,3.5590374044440565,0.15285855389333594,3
episode/collective_reward_mean,IPPO,866.4882943143813,3.842519521819165,0.18587904197451077,3
episode/collective_reward_mean,IPPO,916.2541806020067,4.08100370863219,0.19112799095967217,3
episode/collective_reward_mean,IPPO,966.0200668896322,4.340336584153673,0.1968528839772803,3
episode/collective_reward_mean,IPPO,1015.7859531772576,4.606901812996849,0.2000739357191379,3
episode/collective_reward_mean,IPPO,1065.551839464883,4.8580645846394335,0.19435865481889014,3
episode/collective_reward_mean,IPPO,1115.3177257525085,5.09998588196166,0.1866416256097378,3
episode/collective_reward_mean,IPPO,1165.0836120401339,5.350504773324154,0.14213917137734403,3
episode/collective_reward_mean,IPPO,1214.8494983277592,5.573982674473868,0.12678351626097414,3
episode/collective_reward_mean,IPPO,1264.6153846153848,5.702069861094578,0.15071722324049383,3
episode/collective_reward_mean,IPPO,1314.38127090301,5.772922618997883,0.1828916924958832,3
episode/collective_reward_mean,IPPO,1364.1471571906354,5.851113928143434,0.2146052011412508,3
episode/collective_reward_mean,IPPO,1413.913043478261,5.9263430428763995,0.23556945072089278,3
episode/collective_reward_mean,IPPO,1463.6789297658863,5.967145350066232,0.21524572708146816,3
episode/collective_reward_mean,IPPO,1513.4448160535117,5.9872915727301885,0.16924084186964988,3
episode/collective_reward_mean,IPPO,1563.2107023411372,5.974829938063976,0.1368990596649256,3
episode/collective_reward_mean,IPPO,1612.9765886287626,5.95763571831962,0.11271531693911381,3
episode/collective_reward_mean,IPPO,1662.7424749163881,5.988345630174233,0.08309538910973491,3
episode/collective_reward_mean,IPPO,1712.5083612040135,6.047798020988226,0.060316357406023355,3
episode/collective_reward_mean,IPPO,1762.2742474916388,6.137822268557261,0.08019501473601887,3
episode/collective_reward_mean,IPPO,1812.0401337792644,6.22626547930604,0.10766819504736463,3
episode/collective_reward_mean,IPPO,1861.8060200668897,6.2439312719760425,0.09725135068901909,3
episode/collective_reward_mean,IPPO,1911.5719063545152,6.21913061379878,0.07858916034978423,3
episode/collective_reward_mean,IPPO,1961.3377926421406,6.18452744297269,0.061037496019798125,3
episode/collective_reward_mean,IPPO,2011.103678929766,6.14441539183341,0.0940996299039238,3
episode/collective_reward_mean,IPPO,2060.8695652173915,6.09116599838507,0.11402906686918929,3
episode/collective_reward_mean,IPPO,2110.635451505017,6.030034199551295,0.11433034975135423,3
episode/collective_reward_mean,IPPO,2160.401337792642,5.980977108359539,0.1055009633438887,3
episode/collective_reward_mean,IPPO,2210.1672240802677,5.965396811281053,0.08829959628948378,3
episode/collective_reward_mean,IPPO,2259.9331103678933,6.056899201595833,0.06354895556812191,3
episode/collective_reward_mean,IPPO,2309.6989966555184,6.212651204346574,0.04634244505798468,3
episode/collective_reward_mean,IPPO,2359.464882943144,6.31159595114752,0.022869871278249417,3
episode/collective_reward_mean,IPPO,2409.2307692307695,6.354287827098769,0.056025232794329416,3
episode/collective_reward_mean,IPPO,2458.9966555183946,6.375177958243654,0.07961297512940399,3
episode/collective_reward_mean,IPPO,2508.76254180602,6.382987042504721,0.08517312980636145,3
episode/collective_reward_mean,IPPO,2558.5284280936457,6.37018281636125,0.09690628155154116,3
episode/collective_reward_mean,IPPO,2608.294314381271,6.346102190745772,0.11329081954738945,3
episode/collective_reward_mean,IPPO,2658.0602006688964,6.339328820950622,0.11073701422436509,3
episode/collective_reward_mean,IPPO,2707.826086956522,6.342939804647668,0.09672485261189186,3
episode/collective_reward_mean,IPPO,2757.591973244147,6.362514066735089,0.12149368678905484,3
episode/collective_reward_mean,IPPO,2807.3578595317726,6.389037841750455,0.1782557786482997,3
episode/collective_reward_mean,IPPO,2857.123745819398,6.386415696503264,0.2193185600375139,3
episode/collective_reward_mean,IPPO,2906.8896321070233,6.3663059990985404,0.25096278630584373,3
episode/collective_reward_mean,IPPO,2956.655518394649,6.326253265010963,0.24796795858269188,3
episode/collective_reward_mean,IPPO,3006.4214046822744,6.277547756108027,0.22174142488044202,3
episode/collective_reward_mean,IPPO,3056.1872909699,6.268829378302496,0.23169802563810102,3
episode/collective_reward_mean,IPPO,3105.953177257525,6.284103279155411,0.26520949493460844,3
episode/collective_reward_mean,IPPO,3155.7190635451507,6.3149592138700585,0.2843163015540346,3
episode/collective_reward_mean,IPPO,3205.4849498327762,6.350859738652766,0.2891606806951111,3
episode/collective_reward_mean,IPPO,3255.2508361204013,6.351267522864643,0.26692410665997873,3
episode/collective_reward_mean,IPPO,3305.016722408027,6.330379662734022,0.2262362497109282,3
episode/collective_reward_mean,IPPO,3354.7826086956525,6.310598957060702,0.22295512708533585,3
episode/collective_reward_mean,IPPO,3404.5484949832776,6.296115011545972,0.2583488710360721,3
episode/collective_reward_mean,IPPO,3454.314381270903,6.271402793623977,0.24953579286047958,3
episode/collective_reward_mean,IPPO,3504.0802675585287,6.240553612257628,0.21298312543723627,3
episode/collective_reward_mean,IPPO,3553.846153846154,6.240509603252012,0.184465605892244,3
episode/collective_reward_mean,IPPO,3603.6120401337794,6.2713364419958,0.1715253573469034,3
episode/collective_reward_mean,IPPO,3653.377926421405,6.271701174004615,0.16350222866940556,3
episode/collective_reward_mean,IPPO,3703.1438127090305,6.253788641972445,0.16049802828431164,3
episode/collective_reward_mean,IPPO,3752.9096989966556,6.234629082619364,0.16795383449842524,3
episode/collective_reward_mean,IPPO,3802.675585284281,6.2204103889993405,0.18637672846315614,3
episode/collective_reward_mean,IPPO,3852.4414715719067,6.221667846182957,0.1821730403464223,3
episode/collective_reward_mean,IPPO,3902.207357859532,6.2322109938487555,0.16397414541343588,3
episode/collective_reward_mean,IPPO,3951.9732441471574,6.209122805896766,0.14698218465583016,3
episode/collective_reward_mean,IPPO,4001.739130434783,6.147274166629848,0.13520841352209317,3
episode/collective_reward_mean,IPPO,4051.505016722408,6.151480345388538,0.10897153977531675,3
episode/collective_reward_mean,IPPO,4101.270903010034,6.195319414962591,0.07384056100172964,3
episode/collective_reward_mean,IPPO,4151.036789297659,6.2170779143064285,0.07608908350745891,3
episode/collective_reward_mean,IPPO,4200.802675585284,6.198493058505819,0.1266141648311908,3
episode/collective_reward_mean,IPPO,4250.56856187291,6.19104002685377,0.14704922609499554,3
episode/collective_reward_mean,IPPO,4300.334448160535,6.190266089690858,0.1492233599912119,3
episode/collective_reward_mean,IPPO,4350.1003344481605,6.213416833301693,0.14171040197710924,3
episode/collective_reward_mean,IPPO,4399.866220735787,6.263934971775889,0.13150168225754896,3
episode/collective_reward_mean,IPPO,4449.632107023412,6.278435847428223,0.11550334721494153,3
episode/collective_reward_mean,IPPO,4499.397993311037,6.271185023878711,0.09594532978218022,3
episode/collective_reward_mean,IPPO,4549.163879598663,6.266847569511174,0.08604104987149121,3
episode/collective_reward_mean,IPPO,4598.929765886288,6.2755357323421554,0.08622245389248512,3
episode/collective_reward_mean,IPPO,4648.695652173913,6.316495980468095,0.0705708055111998,3
episode/collective_reward_mean,IPPO,4698.461538461539,6.3773569899902585,0.04559622607532154,3
episode/collective_reward_mean,IPPO,4748.227424749164,6.400396250850342,0.055770746993452636,3
episode/collective_reward_mean,IPPO,4797.993311036789,6.362772248837964,0.11990070150179083,3
episode/collective_reward_mean,IPPO,4847.759197324415,6.343051833137783,0.1791036614325456,3
episode/collective_reward_mean,IPPO,4897.52508361204,6.3363551467054124,0.23356330208343015,3
episode/collective_reward_mean,IPPO,4947.2909698996655,6.341992006640862,0.2506516803235193,3
episode/collective_reward_mean,IPPO,4997.0568561872915,6.358750778120526,0.22068222654165656,3
episode/collective_reward_mean,IPPO,5046.822742474917,6.382340723282572,0.18721601071382765,3
episode/collective_reward_mean,IPPO,5096.588628762542,6.410039305764415,0.1497576998121494,3
episode/collective_reward_mean,IPPO,5146.354515050168,6.429538276881169,0.1007690174686652,3
episode/collective_reward_mean,IPPO,5196.120401337793,6.43464367961811,0.04075815803606244,3
episode/collective_reward_mean,IPPO,5245.886287625418,6.413914505801338,0.05696667752626365,3
episode/collective_reward_mean,IPPO,5295.652173913044,6.376230490920416,0.11759171774165264,3
episode/collective_reward_mean,IPPO,5345.418060200669,6.364544883181011,0.1723565593603328,3
episode/collective_reward_mean,IPPO,5395.183946488294,6.403106628905263,0.2126280681128434,3
episode/collective_reward_mean,IPPO,5444.94983277592,6.417638503541597,0.21531328258488464,3
episode/collective_reward_mean,IPPO,5494.715719063545,6.41194763947167,0.19353538981621204,3
episode/collective_reward_mean,IPPO,5544.48160535117,6.438886047451118,0.17231238014430278,3
episode/collective_reward_mean,IPPO,5594.247491638796,6.5316325704996565,0.1624695950727128,3
episode/collective_reward_mean,IPPO,5644.0133779264215,6.521142637803325,0.15602880782800174,3
episode/collective_reward_mean,IPPO,5693.779264214047,6.4300572846515225,0.1537679267506175,3
episode/collective_reward_mean,IPPO,5743.545150501673,6.3396114833884605,0.17688265876813175,3
episode/collective_reward_mean,IPPO,5793.311036789298,6.30411403607544,0.23409914849357702,3
episode/collective_reward_mean,IPPO,5843.076923076924,6.2782905583974005,0.24191071860815586,3
episode/collective_reward_mean,IPPO,5892.842809364549,6.254654219839629,0.2098042143761564,3
episode/collective_reward_mean,IPPO,5942.608695652174,6.236827097121168,0.17211414924947827,3
episode/collective_reward_mean,IPPO,5992.3745819398,6.227887144560326,0.15095962290621348,3
episode/collective_reward_mean,IPPO,6042.140468227425,6.220615029211113,0.15476670045548757,3
episode/collective_reward_mean,IPPO,6091.90635451505,6.213680522543389,0.17644230640115993,3
episode/collective_reward_mean,IPPO,6141.672240802676,6.222831624562825,0.1955107006875973,3
episode/collective_reward_mean,IPPO,6191.438127090301,6.262223222229333,0.19572877622760773,3
episode/collective_reward_mean,IPPO,6241.2040133779265,6.286969306804711,0.19637617103408694,3
episode/collective_reward_mean,IPPO,6290.9698996655525,6.296114616412815,0.2060121576174893,3
episode/collective_reward_mean,IPPO,6340.735785953178,6.280363173415136,0.21710577092429068,3
episode/collective_reward_mean,IPPO,6390.501672240803,6.227922876178401,0.21674350090560676,3
episode/collective_reward_mean,IPPO,6440.267558528429,6.205682867290096,0.22755029953739478,3
episode/collective_reward_mean,IPPO,6490.033444816054,6.213879196405273,0.24584286764777083,3
episode/collective_reward_mean,IPPO,6539.799331103679,6.212150505580065,0.25658012106643646,3
episode/collective_reward_mean,IPPO,6589.565217391305,6.161805665666878,0.2482902517972102,3
episode/collective_reward_mean,IPPO,6639.33110367893,6.136995785130338,0.24005362501645192,3
episode/collective_reward_mean,IPPO,6689.096989966555,6.142020358480656,0.23355988458299498,3
episode/collective_reward_mean,IPPO,6738.862876254181,6.149120436939008,0.22244873107729718,3
episode/collective_reward_mean,IPPO,6788.628762541806,6.131539480669535,0.20390513398721488,3
episode/collective_reward_mean,IPPO,6838.394648829431,6.120791154027882,0.18375727560209598,3
episode/collective_reward_mean,IPPO,6888.160535117057,6.120551834743002,0.15885397904921356,3
episode/collective_reward_mean,IPPO,6937.9264214046825,6.116973007200315,0.1340349879320915,3
episode/collective_reward_mean,IPPO,6987.692307692308,6.094259958166343,0.11681848000881312,3
episode/collective_reward_mean,IPPO,7037.458193979934,6.1124277288946045,0.11251601191874201,3
episode/collective_reward_mean,IPPO,7087.224080267559,6.172328435924648,0.12420580545075159,3
episode/collective_reward_mean,IPPO,7136.989966555184,6.233705472926026,0.1491641515154021,3
episode/collective_reward_mean,IPPO,7186.75585284281,6.25051129378906,0.1820099701507425,3
episode/collective_reward_mean,IPPO,7236.521739130435,6.265313298012567,0.20747866639083049,3
episode/collective_reward_mean,IPPO,7286.287625418061,6.287884266432958,0.2228337647859616,3
episode/collective_reward_mean,IPPO,7336.053511705686,6.291461094976832,0.21631310087886652,3
episode/collective_reward_mean,IPPO,7385.819397993311,6.233964850966032,0.16389201579837834,3
episode/collective_reward_mean,IPPO,7435.585284280937,6.189454867472967,0.09275736268575895,3
episode/collective_reward_mean,IPPO,7485.351170568562,6.172514050175344,0.01514853087027133,3
episode/collective_reward_mean,IPPO,7535.117056856187,6.171080893873324,0.04118896582279803,3
episode/collective_reward_mean,IPPO,7584.8829431438135,6.176582739222543,0.027059990252417586,3
episode/collective_reward_mean,IPPO,7634.648829431439,6.177422646134789,0.05349961372060164,3
episode/collective_reward_mean,IPPO,7684.414715719064,6.171615999423721,0.061633694241380606,3
episode/collective_reward_mean,IPPO,7734.18060200669,6.165716556175972,0.06623605849676455,3
episode/collective_reward_mean,IPPO,7783.946488294315,6.169536020662105,0.09142838863529924,3
episode/collective_reward_mean,IPPO,7833.71237458194,6.176480007046092,0.09981177043267868,3
episode/collective_reward_mean,IPPO,7883.478260869566,6.184009743358089,0.08194357700740831,3
episode/collective_reward_mean,IPPO,7933.244147157191,6.193879207218868,0.048192648586849976,3
episode/collective_reward_mean,IPPO,7983.010033444816,6.210635333695869,0.013435418689436877,3
episode/collective_reward_mean,IPPO,8032.775919732442,6.2477498141157,0.026571471008829853,3
episode/collective_reward_mean,IPPO,8082.541806020067,6.305490520204835,0.03054520299175959,3
episode/collective_reward_mean,IPPO,8132.307692307692,6.360862004430594,0.050699100424469117,3
episode/collective_reward_mean,IPPO,8182.073578595318,6.369935998644976,0.07388031871669502,3
episode/collective_reward_mean,IPPO,8231.839464882944,6.3588685482765435,0.0888027106993352,3
episode/collective_reward_mean,IPPO,8281.605351170569,6.3400160825147935,0.09589037712659874,3
episode/collective_reward_mean,IPPO,8331.371237458194,6.317606199118686,0.10541978290677603,3
episode/collective_reward_mean,IPPO,8381.13712374582,6.296821874432193,0.12216954060577809,3
episode/collective_reward_mean,IPPO,8430.903010033446,6.2667071603337865,0.12479493921989629,3
episode/collective_reward_mean,IPPO,8480.66889632107,6.224703705341855,0.10668155807707248,3
episode/collective_reward_mean,IPPO,8530.434782608696,6.185999034799315,0.08840088056637407,3
episode/collective_reward_mean,IPPO,8580.200668896321,6.188594359564092,0.10968591267875916,3
episode/collective_reward_mean,IPPO,8629.966555183946,6.2072381764965385,0.13246727496692065,3
episode/collective_reward_mean,IPPO,8679.732441471573,6.229742058629249,0.11852374592314106,3
episode/collective_reward_mean,IPPO,8729.498327759198,6.257512397942321,0.09306008697906396,3
episode/collective_reward_mean,IPPO,8779.264214046823,6.300950721931502,0.11447711976621246,3
episode/collective_reward_mean,IPPO,8829.030100334448,6.312659426098328,0.12849386625691003,3
episode/collective_reward_mean,IPPO,8878.795986622074,6.275951493637443,0.1086016829657589,3
episode/collective_reward_mean,IPPO,8928.561872909699,6.217040818144562,0.07871004312564268,3
episode/collective_reward_mean,IPPO,8978.327759197326,6.177760834253515,0.09483894077277723,3
episode/collective_reward_mean,IPPO,9028.09364548495,6.153523981042632,0.11073730177962388,3
episode/collective_reward_mean,IPPO,9077.859531772576,6.1408315012231265,0.10501000854596973,3
episode/collective_reward_mean,IPPO,9127.6254180602,6.128469341090621,0.08426530358187047,3
episode/collective_reward_mean,IPPO,9177.391304347826,6.079852111900749,0.07278885201937066,3
episode/collective_reward_mean,IPPO,9227.157190635451,6.035317759150854,0.10970225072074552,3
episode/collective_reward_mean,IPPO,9276.923076923078,6.014741852071708,0.12806855244917514,3
episode/collective_reward_mean,IPPO,9326.688963210703,6.013454241677809,0.14164679924801918,3
episode/collective_reward_mean,IPPO,9376.454849498328,6.05538080587625,0.15341891123821097,3
episode/collective_reward_mean,IPPO,9426.220735785953,6.109366562306872,0.16170944823761943,3
episode/collective_reward_mean,IPPO,9475.986622073578,6.158133757525334,0.16346706373523015,3
episode/collective_reward_mean,IPPO,9525.752508361204,6.196591564437163,0.15979250874534265,3
episode/collective_reward_mean,IPPO,9575.51839464883,6.173941766978907,0.14977162561076598,3
episode/collective_reward_mean,IPPO,9625.284280936456,6.148507289841748,0.14124586750180687,3
episode/collective_reward_mean,IPPO,9675.05016722408,6.154206336000924,0.14242704810594548,3
episode/collective_reward_mean,IPPO,9724.816053511706,6.174401750318503,0.15386760578743783,3
episode/collective_reward_mean,IPPO,9774.581939799331,6.164246691216742,0.16005923484334753,3
episode/collective_reward_mean,IPPO,9824.347826086958,6.149934439850818,0.1544866812219939,3
episode/collective_reward_mean,IPPO,9874.113712374583,6.147798683234162,0.1172390394898765,3
episode/collective_reward_mean,IPPO,9923.879598662208,6.1477828777219905,0.06411889158550653,3
episode/collective_reward_mean,IPPO,9973.645484949833,6.0877018225083335,0.064162118039183,3
episode/collective_reward_mean,IPPO,10023.411371237458,6.041159097964308,0.07908331851891325,3
episode/collective_reward_mean,IPPO,10073.177257525083,6.058549449859967,0.11029593183174448,3
episode/collective_reward_mean,IPPO,10122.94314381271,6.109861018856893,0.1702524090473688,3
episode/collective_reward_mean,IPPO,10172.709030100335,6.110910769619598,0.17543785918858693,3
episode/collective_reward_mean,IPPO,10222.47491638796,6.106973150734969,0.1612916749455873,3
episode/collective_reward_mean,IPPO,10272.240802675586,6.130606343060826,0.16232785017099746,3
episode/collective_reward_mean,IPPO,10322.00668896321,6.169204876070609,0.17863940537129896,3
episode/collective_reward_mean,IPPO,10371.772575250836,6.179246537682499,0.1648405482236197,3
episode/collective_reward_mean,IPPO,10421.538461538463,6.172511854233431,0.15141196172180812,3
episode/collective_reward_mean,IPPO,10471.304347826088,6.156180252636677,0.16388566837094729,3
episode/collective_reward_mean,IPPO,10521.070234113713,6.134789288705751,0.19148925515415186,3
episode/collective_reward_mean,IPPO,10570.836120401338,6.142157586601378,0.22455333766880758,3
episode/collective_reward_mean,IPPO,10620.602006688963,6.156483013499288,0.2506114257917726,3
episode/collective_reward_mean,IPPO,10670.367892976588,6.160404423484188,0.2477403950309242,3
episode/collective_reward_mean,IPPO,10720.133779264215,6.158195508048149,0.23355035781050779,3
episode/collective_reward_mean,IPPO,10769.89966555184,6.193891831027329,0.2250670271152987,3
episode/collective_reward_mean,IPPO,10819.665551839465,6.246171609207257,0.21967308259543716,3
episode/collective_reward_mean,IPPO,10869.43143812709,6.298973366862147,0.2111959247719733,3
episode/collective_reward_mean,IPPO,10919.197324414716,6.352088312202014,0.19917292642123016,3
episode/collective_reward_mean,IPPO,10968.96321070234,6.332679442170708,0.19963029369757665,3
episode/collective_reward_mean,IPPO,11018.729096989968,6.276977813946051,0.20135513292407722,3
episode/collective_reward_mean,IPPO,11068.494983277593,6.213442946264323,0.18896575183843828,3
episode/collective_reward_mean,IPPO,11118.260869565218,6.145208134908351,0.16972294171330063,3
episode/collective_reward_mean,IPPO,11168.026755852843,6.183099384846906,0.1746968946677843,3
episode/collective_reward_mean,IPPO,11217.792642140468,6.241013109169013,0.18090402514392506,3
episode/collective_reward_mean,IPPO,11267.558528428093,6.225406561153583,0.16851334592162792,3
episode/collective_reward_mean,IPPO,11317.32441471572,6.165687849735626,0.1579699520192598,3
episode/collective_reward_mean,IPPO,11367.090301003345,6.126042754434464,0.13775723671088416,3
episode/collective_reward_mean,IPPO,11416.85618729097,6.1111530885581145,0.12012221756709383,3
episode/collective_reward_mean,IPPO,11466.622073578596,6.130771083904098,0.11558165742215855,3
episode/collective_reward_mean,IPPO,11516.38795986622,6.171093675983485,0.1250891587117222,3
episode/collective_reward_mean,IPPO,11566.153846153848,6.170682615846499,0.08980087653421293,3
episode/collective_reward_mean,IPPO,11615.919732441473,6.151210312726033,0.04933238294887472,3
episode/collective_reward_mean,IPPO,11665.685618729098,6.140581691165906,0.06452782204175526,3
episode/collective_reward_mean,IPPO,11715.451505016723,6.135259278541981,0.09584002184443745,3
episode/collective_reward_mean,IPPO,11765.217391304348,6.117189625096203,0.08810970147479882,3
episode/collective_reward_mean,IPPO,11814.983277591973,6.096985120282544,0.06595447228787818,3
